Title,PublishedDate,Source,URL,ImageURL,Article
"What’s so special about orange cats? Turns out they’re freaks of nature","Fri May 23 18:59:54 EEST 2025","CNN","https://www.cnn.com/2025/05/23/science/orange-cats-genetic-mutation","https://media.cnn.com/api/v1/images/stellar/prod/gettyimages-142832910.jpg?c=16x9&q=w_800,c_fill","Sign up for CNNs Wonder Theory science newsletter. Explore the universe with news on fascinating discoveries, scientific advancements and more.  A new study may have uncovered exactly what makes oran… [+6485 chars]"
"Reuters: Trump shows an image from Congo, not South Africa | CNN","Fri May 23 19:16:21 EEST 2025","CNN","https://www.cnn.com/2025/05/23/world/video/trump-south-africa-congo-vrtc","https://media.cnn.com/api/v1/images/stellar/prod/thumb-larry-trump-congo-vrtc.jpg?c=16x9&q=w_800,c_fill","Beauty influencer Valeria Marquez was shot dead during a TikTok livestream from her salon in Zapopan, Mexico. The case is being investigated as a suspected femicide, according to local authorities. J… [+145 chars]"
"Ringleader in Kardashian robbery plot found guilty by Paris court","Fri May 23 18:25:32 EEST 2025","CNN","https://www.cnn.com/2025/05/23/world/kim-kardashian-trial-verdict-latam-intl","https://media.cnn.com/api/v1/images/stellar/prod/2025-05-13t170957z-341388957-rc24heavqbh3-rtrmadp-3-people-kim-kardashian.JPG?c=16x9&q=w_800,c_fill","The ringleader of a plot to tie up and rob billionaire reality TV star Kim Kardashian has been found guilty by a Paris court.  This is a developing story and will be updated."
"Several people sustain ‘life-threatening’ injuries in knife attack at Hamburg’s Central Station, police say","Fri May 23 17:59:43 EEST 2025","CNN","https://www.cnn.com/2025/05/23/europe/knife-attack-hamburg-central-station-latam-intl","https://media.cnn.com/api/v1/images/stellar/prod/gettyimages-2215943744.jpg?c=16x9&q=w_800,c_fill","Several people have sustained life-threatening injuries in a knife attack at Hamburgs Central Station, German police said Friday evening.  Police said they have arrested a 39-year-old woman, who they… [+234 chars]"
"Billy Joel cancels upcoming tour due to neurological disorder","Fri May 23 17:17:45 EEST 2025","CNN","https://www.cnn.com/2025/05/23/entertainment/billy-joel-tour-canceled-nph-brain-disorder","https://media.cnn.com/api/v1/images/stellar/prod/gettyimages-2183985002.jpg?c=16x9&q=w_800,c_fill","Billy Joels upcoming tour dates have been canceled as the legendary performer seeks treatment for Normal Pressure Hydrocephalus (NPH), a condition that affects the brain, according to a statement rel… [+1751 chars]"
"Ukraine and Russia begin large-scale prisoner exchange, source says","Fri May 23 11:08:05 EEST 2025","CNN","https://www.cnn.com/2025/05/23/europe/ukraine-and-russia-biggest-prisoner-exchange-war-intl","https://media.cnn.com/api/v1/images/stellar/prod/gettyimages-2214733850.jpg?c=16x9&q=w_800,c_fill","A major prisoner exchange between Russia and Ukraine is now under way, according to a Ukrainian source familiar with the matter.  The swap started on Friday and is expected to unfold over several day… [+1525 chars]"
"Twin 19-year-olds were found dead on a remote Georgia mountaintop. Police now say they’ve solved the mystery","Fri May 23 10:00:51 EEST 2025","CNN","https://www.cnn.com/2025/05/23/us/qaadir-naazir-lewis-georgia-deaths-cec","https://media.cnn.com/api/v1/images/stellar/prod/l1000886.jpg?c=16x9&q=w_800,c_fill","EDITORS NOTE:  Help is available if you or someone you know is struggling with suicidal thoughts or mental health matters. In the US, call or text 988 to reach the Suicide &amp; Crisis Lifeline.  Qaa… [+11243 chars]"
"How much is too much to spend on a watch? | CNN","Fri May 23 08:00:52 EEST 2025","CNN","https://www.cnn.com/2025/05/23/style/video/luxury-watch-price-investment-digvid-cprog","https://media.cnn.com/api/v1/images/stellar/prod/luxury-watch-price-investment-digvid-cprog-1.jpg?c=16x9&q=w_800,c_fill","The perfect price for a watch is 'very personal,' say experts Brynn Wallner and Vincent Brasesco, who break down the many things to consider when buying a watch - and what the sweetspot for a luxury … [+21 chars]"
"A fifth suspect has been arrested for allegedly helping fugitives who escaped from a New Orleans jail","Fri May 23 04:06:04 EEST 2025","CNN","https://www.cnn.com/2025/05/23/us/new-orleans-jailbreak-third-arrest-hnk","https://media.cnn.com/api/v1/images/stellar/prod/still-21630896-101528-still-20250521212142753.jpg?c=16x9&q=w_800,c_fill","[Breaking news update, published at 2:01 p.m. ET]  Five suspected accomplices have been arrested for allegedly helping some of the 10 escapees who broke out of the Orleans Justice Center last week.  … [+6630 chars]"
"CNN Headlines | CNN","Tue Sep 03 19:55:38 EEST 2024","CNN","https://www.cnn.com/videos/fast/cnn-headlines","https://media.cnn.com/api/v1/images/stellar/prod/cnn-headlines-placeholder-1920x1080.png?c=16x9&q=w_800,c_fill","CNN Headlines is a curated channel covering major news events across politics, international, business, and entertainment, and showcasing the most impactful stories of the day."
